Trans. Date,Post Date,Description,Amount,Category
09/01/2020,09/01/2020,"WAL-MART SC - #1081 GAINESVILLE FL",38.61,"Merchandise"
09/02/2020,09/02/2020,"CHEVRON 0042060 GAINESVILLE FL00042060 6038111",6.68,"Gasoline"
09/04/2020,09/04/2020,"CHEVRON 0042060 GAINESVILLE FL00042060 6038413",6.68,"Gasoline"
09/05/2020,09/05/2020,"ADIDAS AMERICA, INC ORLANDO FL",55.34,"Merchandise"
09/05/2020,09/05/2020,"CALVIN KLEIN #080 ORLANDO FL",10.14,"Merchandise"
09/05/2020,09/05/2020,"CHEVRON 0042060 GAINESVILLE FL00042060 6038761",6.68,"Gasoline"
09/05/2020,09/05/2020,"EXXONMOBIL CLERMONT FL",7.00,"Gasoline"
09/05/2020,09/05/2020,"LEVIS OUTLET 484 ORLANDO FL",58.28,"Merchandise"
09/05/2020,09/05/2020,"LOTTE PLAZA ORLANDO ORLANDO FL",82.17,"Supermarkets"
09/05/2020,09/05/2020,"MAXINES ON SHINE ORLANDO FL",43.45,"Restaurants"
09/05/2020,09/05/2020,"NIKE ORLANDO INTL ORLANDO FL",26.61,"Merchandise"
09/05/2020,09/05/2020,"SAKS O5 ORLANDO 747 ORLANDO FL0747000707662009051623",21.29,"Department Stores"
09/06/2020,09/06/2020,"SUNPASS*ACC94793180 888-865-5352 FL",10.00,"Travel/ Entertainment"
09/07/2020,09/07/2020,"AMAZON PRIME*MU9O079G1 AMZN.COM/BILLWA13I3K64AGKF",13.11,"Merchandise"
09/08/2020,09/08/2020,"AMAZON.COM*MU9JK4971 AMZN.COM/BILLWA5MH312ZHZBC",17.10,"Merchandise"
09/08/2020,09/08/2020,"CHEVRON 0042060 GAINESVILLE FL00042060 6039348",6.68,"Gasoline"
09/08/2020,09/08/2020,"INTERNET PAYMENT - THANK YOU",-504.62,"Payments and Credits"
09/08/2020,09/08/2020,"WWW COSTCO COM 800-955-2292 WA00847317766397",26.74,"Warehouse Clubs"
09/09/2020,09/09/2020,"AMZN MKTP US*MU2ZC3WJ1 AMZN.COM/BILLWA62KMS0DZGP6",14.99,"Merchandise"
09/09/2020,09/09/2020,"AMZN MKTP US*MU7WX5D72 AMZN.COM/BILLWA1V683WIEXI3",10.39,"Merchandise"
09/10/2020,09/10/2020,"CHEVRON 0042054 GAINESVILLE FL00042054 5423140",7.05,"Gasoline"
09/10/2020,09/10/2020,"INTERNET PAYMENT - THANK YOU",-63.63,"Payments and Credits"
09/11/2020,09/11/2020,"INTERNET PAYMENT - THANK YOU",-25.38,"Payments and Credits"
